,region,customer_lifetime_value,response,coverage,education,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
608,central,5140,no,extended,high school or below,jan,unemployed,f,56150,suburban,married,138,22,18,0,1,corporate auto,corporate l3,offer1,agent,suv,small
609,central,3548,no,extended,doctor,feb,employed,f,76114,suburban,married,88,6,97,0,1,personal auto,personal l3,offer2,agent,four-door car,medsize
610,north west,10541,no,extended,doctor,feb,employed,f,59965,suburban,married,131,7,54,0,7,personal auto,personal l2,offer1,branch,suv,medsize
611,north west,8009,no,basic,bachelor,jan,unemployed,f,41247,suburban,married,107,17,8,0,3,personal auto,personal l3,offer2,web,suv,small
612,north west,7606,no,extended,bachelor,feb,employed,f,47778,rural,married,96,2,81,0,7,personal auto,personal l3,offer2,call center,four-door car,medsize
613,west region,30763,no,basic,bachelor,jan,employed,m,41279,rural,single,115,1,30,0,2,personal auto,personal l3,offer3,agent,sports car,medsize
614,central,2726,no,basic,bachelor,jan,unemployed,f,92622,suburban,single,73,8,63,0,1,personal auto,personal l3,offer4,branch,four-door car,medsize
615,west region,4751,no,basic,master,feb,employed,m,30887,urban,married,119,15,18,0,1,personal auto,personal l3,offer3,agent,suv,large
616,central,2631,no,basic,bachelor,jan,unemployed,m,48414,suburban,married,71,11,68,0,1,personal auto,personal l3,offer2,call center,two-door car,large
617,west region,38545,no,basic,college,jan,employed,m,41104,urban,married,109,4,10,0,2,corporate auto,corporate l2,offer4,call center,suv,large
618,north west,4988,no,basic,bachelor,feb,employed,m,38928,suburban,married,64,14,18,0,8,personal auto,personal l2,offer2,agent,four-door car,large
619,west region,2609,no,basic,bachelor,feb,employed,m,60798,suburban,married,66,21,57,0,1,personal auto,personal l3,offer2,call center,four-door car,medsize
620,central,15470,no,premium,bachelor,feb,employed,f,68086,rural,married,194,34,6,0,3,corporate auto,corporate l2,offer2,web,suv,large
621,central,5324,no,basic,bachelor,jan,employed,f,31561,suburban,divorced,68,8,62,0,7,personal auto,personal l3,offer3,web,four-door car,medsize
622,east,3763,no,extended,high school or below,feb,employed,m,93595,rural,married,97,15,30,4,1,special auto,special l2,offer4,agent,four-door car,medsize
623,north west,9057,no,basic,college,jan,employed,f,91025,urban,married,112,13,37,0,9,personal auto,personal l3,offer1,agent,suv,medsize
624,west region,6105,no,extended,bachelor,feb,unemployed,m,32099,urban,married,84,0,57,0,5,personal auto,personal l2,offer3,branch,four-door car,medsize
625,west region,5886,no,extended,high school or below,jan,unemployed,f,53977,suburban,single,81,28,37,0,4,personal auto,personal l2,offer1,branch,four-door car,small
626,central,4458,yes,basic,bachelor,jan,retired,m,17622,suburban,divorced,65,1,36,1,3,personal auto,personal l3,offer1,agent,four-door car,medsize
627,north west,2660,no,basic,high school or below,jan,employed,f,53333,rural,married,66,4,34,0,1,personal auto,personal l1,offer2,branch,two-door car,medsize
628,west region,3870,no,basic,master,jan,unemployed,m,17116,suburban,single,106,8,65,0,1,personal auto,personal l2,offer1,web,suv,medsize
629,north west,2616,yes,basic,college,feb,employed,m,72302,suburban,divorced,66,6,27,0,1,personal auto,personal l3,offer1,agent,two-door car,medsize
630,north west,8110,no,premium,college,jan,employed,m,52548,suburban,married,101,10,1,0,5,personal auto,personal l3,offer2,call center,four-door car,medsize
631,central,2448,no,basic,bachelor,jan,employed,f,87802,urban,married,63,2,43,5,1,personal auto,personal l2,offer2,agent,four-door car,small
632,north west,2472,yes,basic,college,jan,employed,f,63860,urban,married,62,26,81,0,1,personal auto,personal l1,offer2,agent,four-door car,medsize
633,west region,6191,no,basic,college,feb,unemployed,m,67897,suburban,married,199,4,29,3,1,personal auto,personal l3,offer2,web,suv,small
634,north west,16301,yes,extended,master,feb,retired,f,19614,suburban,married,85,21,32,0,2,special auto,special l3,offer2,agent,two-door car,medsize
635,central,6047,yes,extended,college,feb,employed,m,20396,suburban,married,76,15,60,1,4,corporate auto,corporate l2,offer1,branch,four-door car,large
636,north west,20635,no,basic,high school or below,feb,employed,f,84106,suburban,single,64,0,86,0,2,personal auto,personal l3,offer1,branch,two-door car,medsize
637,west region,4655,no,basic,high school or below,feb,employed,m,88240,suburban,divorced,117,3,94,0,1,personal auto,personal l1,offer1,branch,suv,small
638,west region,4686,yes,basic,college,feb,employed,m,58089,suburban,married,118,31,83,0,1,corporate auto,corporate l3,offer1,agent,suv,medsize
639,west region,5251,no,basic,college,feb,employed,m,59537,suburban,married,66,23,5,0,7,personal auto,personal l1,offer1,branch,two-door car,medsize
640,north west,8672,no,extended,bachelor,jan,unemployed,m,82396,suburban,single,245,34,83,0,1,corporate auto,corporate l3,offer1,branch,luxury suv,medsize
641,central,3199,no,extended,college,jan,employed,m,78784,urban,married,80,33,72,0,1,personal auto,personal l3,offer2,agent,four-door car,medsize
642,west region,6871,no,premium,bachelor,feb,unemployed,f,67234,suburban,married,196,5,59,2,1,personal auto,personal l2,offer1,agent,sports car,medsize
643,central,2388,no,basic,bachelor,feb,unemployed,m,99026,suburban,single,73,12,84,0,1,personal auto,personal l1,offer2,web,luxury car,medsize
644,north west,7284,no,basic,college,feb,medical leave,m,10334,urban,married,64,5,80,0,2,personal auto,personal l1,offer3,agent,four-door car,medsize
645,north west,6739,no,extended,high school or below,jan,unemployed,m,25876,suburban,single,96,13,43,0,7,personal auto,personal l3,offer1,agent,four-door car,small
646,north west,9112,no,extended,bachelor,jan,unemployed,m,75843,suburban,single,90,21,21,0,2,personal auto,personal l1,offer1,agent,four-door car,medsize
647,north west,10395,no,extended,bachelor,feb,unemployed,f,81263,urban,married,95,22,59,0,2,personal auto,personal l3,offer2,agent,four-door car,medsize
648,central,4885,no,extended,high school or below,feb,disabled,m,26372,suburban,married,126,11,7,0,1,personal auto,personal l3,offer4,agent,suv,medsize
649,north west,8332,no,extended,college,jan,unemployed,m,13464,suburban,married,79,7,72,0,2,personal auto,personal l3,offer2,web,two-door car,large
650,north west,5093,no,basic,high school or below,jan,unemployed,m,95185,rural,married,71,12,55,0,3,personal auto,personal l3,offer2,call center,two-door car,large
651,central,3141,no,extended,college,jan,employed,f,24019,rural,married,79,14,27,0,1,personal auto,personal l3,offer3,branch,four-door car,medsize
652,central,2582,yes,basic,bachelor,feb,employed,f,76731,urban,married,64,2,68,0,1,special auto,special l3,offer2,agent,four-door car,medsize
653,west region,25807,yes,extended,college,feb,employed,f,71210,suburban,married,214,8,89,1,2,personal auto,personal l3,offer1,branch,luxury car,small
654,north west,14083,no,basic,college,jan,employed,f,74916,rural,single,62,8,34,4,2,personal auto,personal l1,offer1,branch,two-door car,medsize
655,west region,5085,no,basic,college,feb,unemployed,m,52055,suburban,married,72,15,18,1,3,personal auto,personal l3,offer3,agent,four-door car,small
656,central,6457,no,extended,bachelor,jan,employed,m,37548,rural,married,81,12,9,0,3,special auto,special l2,offer2,web,four-door car,medsize
657,central,5607,no,basic,college,feb,employed,f,39507,urban,married,70,32,17,0,5,corporate auto,corporate l1,offer1,web,two-door car,medsize
658,central,13092,no,basic,college,jan,unemployed,f,16756,suburban,single,188,35,82,0,7,special auto,special l2,offer1,call center,luxury car,medsize
659,north west,6459,no,extended,high school or below,jan,employed,m,23235,suburban,married,82,32,46,0,3,personal auto,personal l3,offer2,call center,four-door car,large
660,central,7840,no,extended,bachelor,jan,unemployed,f,76460,suburban,single,76,17,34,1,2,personal auto,personal l2,offer2,agent,four-door car,large
661,central,5645,no,basic,high school or below,feb,employed,m,50366,suburban,divorced,72,9,5,0,9,personal auto,personal l1,offer1,call center,four-door car,small
662,north west,4995,no,basic,bachelor,feb,employed,f,82413,suburban,divorced,62,12,79,0,3,personal auto,personal l3,offer1,agent,four-door car,medsize
663,central,5791,no,basic,college,feb,employed,f,80480,urban,married,72,6,55,0,7,personal auto,personal l3,offer3,agent,four-door car,medsize
664,central,14040,no,basic,bachelor,feb,unemployed,f,37853,urban,married,195,9,33,1,5,personal auto,personal l2,offer1,web,luxury suv,small
665,north west,7484,no,basic,high school or below,jan,employed,f,51692,suburban,married,186,12,28,0,1,special auto,special l3,offer1,agent,luxury car,medsize
666,west region,5009,no,basic,bachelor,jan,unemployed,f,11029,suburban,single,69,9,95,0,4,personal auto,personal l2,offer1,web,four-door car,medsize
667,west region,2551,yes,basic,master,jan,employed,m,79751,suburban,married,63,15,67,0,1,personal auto,personal l3,offer3,web,four-door car,medsize
668,central,9233,no,basic,high school or below,feb,employed,f,42600,suburban,married,115,10,78,0,3,personal auto,personal l2,offer2,branch,sports car,medsize
669,north west,4185,yes,basic,college,feb,unemployed,m,95519,suburban,single,64,0,56,0,3,corporate auto,corporate l1,offer2,call center,four-door car,small
670,central,4490,no,basic,bachelor,jan,unemployed,f,22267,urban,single,64,13,11,0,3,personal auto,personal l2,offer1,agent,two-door car,medsize
671,north west,38055,no,basic,high school or below,feb,unemployed,m,44661,suburban,married,115,21,78,0,2,special auto,special l2,offer2,agent,luxury car,small
672,central,2996,no,extended,high school or below,jan,unemployed,m,26189,suburban,single,82,9,21,0,1,corporate auto,corporate l3,offer2,call center,four-door car,large
673,west region,8622,yes,basic,bachelor,feb,employed,m,97361,suburban,single,73,6,85,0,2,corporate auto,corporate l3,offer1,agent,four-door car,medsize
674,north west,5568,no,basic,college,jan,employed,f,53295,urban,married,70,12,97,0,8,personal auto,personal l3,offer3,branch,four-door car,small
675,central,4995,no,basic,college,jan,retired,f,10787,suburban,divorced,71,33,25,0,8,personal auto,personal l2,offer1,agent,two-door car,small
676,north west,3954,no,basic,doctor,feb,employed,m,40175,rural,divorced,102,34,78,1,1,personal auto,personal l1,offer3,branch,suv,medsize
677,central,2685,no,basic,high school or below,jan,employed,m,75329,rural,married,67,15,17,0,1,corporate auto,corporate l2,offer3,branch,four-door car,large
678,west region,2498,no,basic,bachelor,feb,employed,m,76792,suburban,married,62,12,27,0,1,personal auto,personal l2,offer3,agent,four-door car,medsize
679,east,25807,yes,extended,college,feb,employed,f,71210,suburban,married,214,8,89,1,2,personal auto,personal l1,offer1,branch,luxury car,small
680,west region,5120,no,extended,high school or below,feb,unemployed,f,69513,urban,married,76,11,14,4,3,personal auto,personal l3,offer2,agent,four-door car,medsize
681,north west,9192,no,basic,high school or below,feb,employed,m,37388,suburban,married,117,30,21,0,5,corporate auto,corporate l1,offer4,branch,suv,medsize
682,north west,13334,no,premium,bachelor,jan,employed,m,47950,urban,married,170,23,86,1,8,personal auto,personal l3,offer1,branch,suv,medsize
683,west region,4914,no,basic,bachelor,feb,disabled,f,14232,suburban,married,64,13,1,0,5,personal auto,personal l3,offer4,agent,four-door car,small
684,west region,4428,yes,basic,high school or below,jan,employed,f,58577,urban,married,110,6,62,0,1,personal auto,personal l3,offer1,agent,suv,medsize
685,north west,5107,no,basic,bachelor,feb,employed,m,70174,rural,married,64,18,80,0,7,personal auto,personal l2,offer1,agent,four-door car,medsize
686,west region,2949,no,basic,high school or below,jan,employed,f,78596,rural,divorced,73,11,0,0,1,personal auto,personal l3,offer3,call center,four-door car,medsize
687,west region,4312,no,basic,bachelor,jan,retired,m,21004,suburban,single,62,27,20,0,3,personal auto,personal l3,offer2,call center,two-door car,medsize
688,west region,4553,no,basic,college,feb,employed,m,61064,urban,married,113,32,77,0,1,personal auto,personal l3,offer3,branch,suv,medsize
689,west region,4583,no,basic,master,jan,employed,m,94804,suburban,married,115,13,79,4,1,personal auto,personal l2,offer1,branch,suv,medsize
690,north west,7255,no,extended,doctor,jan,employed,f,39786,urban,married,91,25,91,0,9,personal auto,personal l2,offer1,web,suv,medsize
691,north west,2527,no,basic,bachelor,jan,employed,f,80744,rural,married,63,24,84,0,1,corporate auto,corporate l3,offer1,agent,four-door car,medsize
692,west region,7455,no,extended,high school or below,jan,employed,f,74089,suburban,married,94,13,89,2,7,personal auto,personal l2,offer3,agent,four-door car,small
693,central,6895,no,basic,bachelor,jan,retired,m,28992,suburban,divorced,74,3,90,4,2,personal auto,personal l3,offer2,branch,four-door car,medsize
694,north west,5500,no,basic,bachelor,feb,employed,m,35396,suburban,divorced,70,32,12,0,3,personal auto,personal l3,offer4,call center,two-door car,medsize
695,central,10110,no,extended,college,jan,employed,f,96506,urban,married,124,3,22,1,3,corporate auto,corporate l3,offer3,agent,suv,medsize
696,central,8457,no,basic,college,jan,employed,f,26023,rural,married,72,26,33,1,2,personal auto,personal l3,offer1,branch,four-door car,medsize
697,north west,6744,no,extended,high school or below,feb,unemployed,m,31983,suburban,married,90,3,74,0,4,personal auto,personal l3,offer1,branch,four-door car,medsize
698,north west,2827,no,basic,college,jan,employed,f,20368,suburban,single,72,30,36,0,1,corporate auto,corporate l3,offer4,branch,four-door car,small
699,west region,9150,no,basic,master,feb,employed,f,32370,suburban,married,115,2,77,0,4,corporate auto,corporate l3,offer1,branch,suv,medsize
700,central,3038,no,extended,bachelor,jan,employed,f,31532,urban,single,79,1,26,0,1,personal auto,personal l3,offer1,branch,four-door car,medsize
701,west region,11005,no,basic,college,jan,unemployed,m,18657,suburban,single,69,31,69,2,2,personal auto,personal l3,offer1,web,four-door car,medsize
702,west region,3681,no,extended,master,jan,employed,f,77951,rural,married,93,28,46,3,1,corporate auto,corporate l2,offer4,branch,two-door car,medsize
703,north west,11533,no,extended,bachelor,feb,employed,f,41098,urban,married,96,3,15,0,2,personal auto,personal l1,offer1,branch,two-door car,medsize
704,central,2706,no,basic,college,jan,medical leave,f,22664,suburban,divorced,73,0,8,0,1,personal auto,personal l2,offer4,agent,two-door car,small
705,west region,5519,no,basic,doctor,jan,employed,f,70914,rural,married,68,15,82,0,3,personal auto,personal l3,offer1,agent,four-door car,medsize
706,west region,4455,no,extended,high school or below,feb,unemployed,f,50803,suburban,married,121,16,64,0,1,personal auto,personal l3,offer4,agent,suv,medsize
707,central,4447,no,premium,bachelor,feb,disabled,f,13128,suburban,married,118,11,21,0,1,personal auto,personal l1,offer4,call center,four-door car,medsize
708,north west,2551,yes,basic,master,jan,employed,m,79751,suburban,married,63,15,67,0,1,special auto,special l2,offer3,web,two-door car,small
709,north west,5169,no,basic,bachelor,jan,employed,f,56334,suburban,married,65,35,72,0,3,corporate auto,corporate l2,offer4,call center,two-door car,small
710,west region,21343,no,basic,high school or below,jan,unemployed,f,11335,suburban,married,74,11,85,1,2,personal auto,personal l2,offer1,agent,four-door car,medsize
711,central,2791,no,basic,college,jan,employed,m,72389,urban,married,70,3,76,0,1,personal auto,personal l1,offer2,branch,four-door car,medsize
712,west region,8609,yes,basic,bachelor,jan,employed,f,79090,urban,married,107,2,74,0,3,personal auto,personal l2,offer2,branch,suv,medsize
713,west region,7238,no,basic,high school or below,jan,unemployed,m,91854,suburban,married,66,31,54,1,2,personal auto,personal l3,offer3,call center,four-door car,medsize
714,west region,8132,no,basic,bachelor,jan,employed,f,36737,suburban,married,102,2,20,0,8,corporate auto,corporate l3,offer1,agent,sports car,large
715,north west,2592,yes,basic,high school or below,jan,employed,m,72421,suburban,married,65,8,23,0,1,personal auto,personal l3,offer2,call center,four-door car,medsize
716,north west,5229,no,basic,high school or below,feb,medical leave,f,26540,suburban,divorced,69,13,65,1,5,personal auto,personal l1,offer2,call center,four-door car,medsize
717,north west,2635,no,basic,high school or below,jan,employed,f,93884,suburban,married,65,7,10,0,1,personal auto,personal l3,offer4,branch,four-door car,medsize
718,north west,2354,no,basic,college,jan,unemployed,m,95202,suburban,married,64,19,72,0,1,personal auto,personal l3,offer1,branch,four-door car,medsize
719,central,14651,no,extended,bachelor,jan,employed,m,74915,urban,married,122,13,17,0,2,personal auto,personal l2,offer3,branch,suv,medsize
720,west region,2837,no,basic,college,feb,employed,m,29242,suburban,married,73,23,23,0,1,personal auto,personal l1,offer3,branch,two-door car,large
721,north west,4363,no,basic,master,jan,employed,f,54514,urban,divorced,109,5,36,3,1,personal auto,personal l2,offer2,branch,suv,medsize
722,west region,4563,no,basic,doctor,jan,employed,f,62010,suburban,married,112,2,51,0,1,personal auto,personal l3,offer2,agent,suv,medsize
723,west region,19668,no,basic,college,feb,unemployed,m,22275,suburban,single,67,20,55,1,2,personal auto,personal l2,offer1,call center,four-door car,medsize
724,north west,6277,no,extended,college,jan,employed,f,21024,suburban,single,82,32,8,1,9,personal auto,personal l3,offer2,agent,two-door car,large
725,central,3731,no,extended,high school or below,feb,unemployed,f,47391,suburban,married,96,31,34,0,1,corporate auto,corporate l3,offer1,agent,four-door car,large
726,central,16224,no,extended,high school or below,feb,employed,f,32184,rural,married,136,34,91,0,2,personal auto,personal l2,offer1,branch,suv,medsize
727,west region,4984,yes,basic,bachelor,jan,employed,m,86305,rural,married,62,1,99,0,5,personal auto,personal l1,offer2,call center,four-door car,medsize
728,central,21034,no,basic,high school or below,feb,employed,f,26876,urban,married,66,12,53,0,2,personal auto,personal l2,offer4,call center,four-door car,medsize
729,west region,2691,no,basic,bachelor,jan,retired,f,21959,suburban,married,71,0,69,0,1,corporate auto,corporate l3,offer4,web,four-door car,small
730,west region,14057,no,basic,bachelor,jan,employed,m,36261,suburban,divorced,118,14,78,0,2,corporate auto,corporate l3,offer3,web,suv,medsize
731,east,6624,yes,basic,bachelor,feb,unemployed,m,75130,suburban,married,62,27,53,0,2,corporate auto,corporate l3,offer1,branch,two-door car,medsize
732,north west,5849,no,basic,bachelor,feb,employed,f,67511,suburban,married,73,3,5,0,8,personal auto,personal l3,offer3,call center,four-door car,small
733,west region,2430,no,basic,high school or below,feb,employed,f,28476,suburban,divorced,62,3,76,0,1,personal auto,personal l3,offer2,agent,four-door car,medsize
734,north west,10721,no,extended,bachelor,feb,employed,f,25983,suburban,married,90,32,43,0,2,corporate auto,corporate l2,offer2,web,four-door car,small
735,east,4779,no,basic,high school or below,feb,employed,m,54194,rural,married,119,9,90,1,1,personal auto,personal l3,offer1,agent,suv,medsize
736,west region,4736,no,basic,high school or below,feb,unemployed,m,30115,suburban,single,65,33,1,0,3,personal auto,personal l3,offer1,web,two-door car,medsize
737,central,32450,no,basic,college,feb,employed,f,60455,suburban,single,104,20,25,0,2,personal auto,personal l1,offer4,agent,suv,medsize
738,west region,5884,no,premium,high school or below,jan,unemployed,f,10169,suburban,single,161,29,1,0,1,personal auto,personal l3,offer1,agent,suv,medsize
739,north west,4858,no,basic,high school or below,jan,unemployed,m,96637,suburban,single,67,0,79,0,3,personal auto,personal l1,offer2,branch,four-door car,medsize
740,west region,5824,no,basic,bachelor,feb,employed,f,38492,urban,married,72,27,34,0,3,personal auto,personal l3,offer2,branch,four-door car,medsize
741,north west,5220,no,extended,master,jan,employed,f,68867,suburban,married,129,19,91,0,1,personal auto,personal l3,offer1,call center,suv,medsize
742,west region,4341,no,basic,bachelor,jan,employed,m,23352,suburban,married,112,0,86,0,1,personal auto,personal l3,offer2,branch,suv,medsize
743,north west,17857,no,basic,college,feb,employed,m,55437,suburban,married,64,5,78,1,2,personal auto,personal l3,offer3,agent,suv,large
744,north west,5129,no,extended,master,feb,employed,m,72433,urban,married,126,34,48,0,1,personal auto,personal l3,offer2,agent,suv,large
745,north west,4711,no,basic,bachelor,jan,disabled,f,13933,rural,married,62,25,32,0,6,corporate auto,corporate l3,offer1,call center,two-door car,medsize
746,central,18380,no,extended,high school or below,feb,employed,m,50407,urban,married,92,30,67,0,2,personal auto,personal l3,offer1,agent,four-door car,medsize
747,west region,17041,no,basic,high school or below,feb,disabled,f,22249,suburban,married,64,4,88,0,2,personal auto,personal l3,offer4,call center,four-door car,medsize
748,central,3312,no,basic,bachelor,jan,unemployed,m,74866,suburban,single,107,2,4,2,1,corporate auto,corporate l3,offer1,agent,suv,medsize
749,east,3576,no,extended,high school or below,jan,employed,f,24959,suburban,married,89,19,13,0,1,corporate auto,corporate l3,offer2,call center,four-door car,large
750,west region,2462,no,basic,bachelor,feb,unemployed,f,32806,suburban,divorced,69,9,68,0,1,personal auto,personal l1,offer1,call center,two-door car,small
751,central,6098,no,extended,bachelor,jan,employed,f,74257,urban,married,76,16,91,0,3,personal auto,personal l3,offer1,agent,four-door car,large
752,central,6899,no,extended,high school or below,jan,employed,m,37308,urban,married,86,19,69,0,9,personal auto,personal l2,offer1,agent,four-door car,medsize
753,west region,3883,no,basic,bachelor,jan,unemployed,m,94212,suburban,married,109,31,70,1,1,personal auto,personal l1,offer1,agent,suv,medsize
754,north west,5259,no,basic,college,jan,employed,m,28447,suburban,married,67,20,99,0,3,personal auto,personal l3,offer4,agent,four-door car,medsize
755,central,4250,yes,basic,high school or below,jan,unemployed,f,61638,suburban,single,61,17,1,1,7,personal auto,personal l3,offer1,agent,four-door car,medsize
756,east,19014,no,basic,high school or below,jan,employed,f,29822,suburban,single,61,17,44,0,2,personal auto,personal l2,offer2,agent,two-door car,medsize
757,west region,8658,yes,basic,college,feb,employed,m,62464,urban,married,109,23,45,0,4,corporate auto,corporate l1,offer2,agent,sports car,medsize
758,west region,5845,no,basic,bachelor,jan,employed,f,43145,suburban,married,73,1,0,0,6,corporate auto,corporate l3,offer3,web,two-door car,medsize
759,central,2756,no,basic,high school or below,jan,employed,m,43540,rural,married,70,29,60,0,1,corporate auto,corporate l3,offer2,call center,two-door car,medsize
760,central,2937,no,basic,master,jan,employed,f,83195,urban,single,73,18,36,1,1,personal auto,personal l1,offer1,call center,suv,small
761,central,5603,no,basic,high school or below,jan,employed,f,95284,urban,married,69,6,35,0,4,personal auto,personal l3,offer2,call center,four-door car,medsize
762,east,5384,no,basic,bachelor,feb,disabled,m,13103,suburban,married,72,21,32,0,7,personal auto,personal l2,offer1,agent,four-door car,medsize
763,north west,8169,no,basic,college,jan,employed,f,32799,suburban,divorced,104,7,27,0,3,personal auto,personal l2,offer1,agent,suv,medsize
764,central,12655,no,premium,high school or below,feb,employed,f,26149,suburban,married,157,2,17,0,7,personal auto,personal l3,offer4,web,suv,medsize
765,east,10025,no,premium,bachelor,feb,unemployed,f,47654,suburban,single,141,25,27,0,3,personal auto,personal l3,offer2,agent,suv,medsize
766,west region,14435,yes,premium,master,jan,employed,m,60880,rural,married,119,25,89,0,2,personal auto,personal l2,offer1,agent,two-door car,medsize
767,central,2914,no,basic,bachelor,feb,employed,f,37803,suburban,divorced,74,26,51,0,1,personal auto,personal l3,offer1,agent,four-door car,small
768,central,7663,no,basic,bachelor,jan,unemployed,f,38061,suburban,single,109,5,95,0,3,personal auto,personal l3,offer2,call center,suv,small
769,central,5107,yes,basic,bachelor,jan,employed,f,35625,urban,married,65,10,56,1,3,special auto,special l1,offer2,agent,four-door car,medsize
770,west region,11855,no,premium,bachelor,feb,unemployed,f,94079,suburban,single,170,10,74,0,5,corporate auto,corporate l2,offer3,web,suv,medsize
771,west region,2491,yes,basic,high school or below,feb,medical leave,f,25965,suburban,divorced,65,23,27,0,1,personal auto,personal l3,offer1,agent,four-door car,medsize
772,central,5568,yes,extended,high school or below,jan,unemployed,m,98601,suburban,single,79,21,53,1,7,personal auto,personal l2,offer1,agent,two-door car,medsize
773,central,4772,yes,extended,high school or below,feb,retired,m,20993,suburban,divorced,133,35,90,0,1,personal auto,personal l3,offer2,agent,suv,medsize
774,central,4624,no,basic,high school or below,feb,unemployed,m,38138,suburban,married,68,0,16,2,3,personal auto,personal l2,offer3,call center,four-door car,large
775,central,3664,no,basic,high school or below,feb,unemployed,m,98580,suburban,divorced,103,8,75,0,1,personal auto,personal l3,offer1,branch,suv,medsize
776,central,8004,no,basic,high school or below,jan,employed,f,54008,suburban,married,67,9,90,0,2,personal auto,personal l3,offer2,branch,four-door car,medsize
777,central,3914,no,basic,high school or below,jan,unemployed,m,20194,suburban,single,112,6,0,0,1,corporate auto,corporate l1,offer1,call center,sports car,medsize
778,north west,36293,no,extended,bachelor,jan,medical leave,m,18047,suburban,married,242,5,50,0,2,personal auto,personal l1,offer1,call center,luxury suv,medsize
779,west region,36860,no,basic,college,jan,employed,f,66216,rural,single,103,34,58,0,2,personal auto,personal l2,offer2,web,sports car,medsize
780,north west,2337,no,basic,high school or below,feb,medical leave,f,28806,suburban,married,61,13,90,0,1,personal auto,personal l1,offer2,call center,four-door car,small
781,west region,9890,no,extended,bachelor,feb,employed,m,52408,rural,married,125,13,12,0,9,personal auto,personal l1,offer1,agent,sports car,medsize
782,east,7320,no,premium,high school or below,jan,unemployed,m,98712,suburban,single,112,30,29,1,3,personal auto,personal l2,offer2,agent,two-door car,medsize
783,central,4863,no,extended,bachelor,feb,employed,m,52728,suburban,divorced,127,34,34,1,1,corporate auto,corporate l3,offer1,branch,suv,medsize
784,central,5181,no,basic,master,feb,employed,f,97131,suburban,married,64,0,80,0,6,personal auto,personal l1,offer2,agent,four-door car,small
785,central,12913,no,basic,master,jan,employed,m,62448,suburban,married,107,0,11,0,2,personal auto,personal l3,offer1,branch,suv,medsize
786,east,2466,no,basic,high school or below,jan,unemployed,f,72695,suburban,single,70,6,18,0,1,special auto,special l1,offer1,branch,four-door car,small
787,north west,8415,no,basic,bachelor,jan,employed,m,55308,suburban,divorced,107,17,74,0,6,corporate auto,corporate l3,offer1,call center,suv,medsize
788,west region,2150,no,basic,high school or below,feb,unemployed,f,93722,suburban,single,61,28,31,0,1,personal auto,personal l3,offer2,web,four-door car,medsize
789,west region,24127,yes,basic,bachelor,jan,medical leave,m,14072,suburban,divorced,71,13,3,0,2,personal auto,personal l3,offer1,agent,four-door car,medsize
790,north west,5727,no,basic,bachelor,jan,employed,m,99934,suburban,married,71,9,12,0,3,special auto,special l3,offer4,web,four-door car,medsize
791,north west,4626,yes,basic,master,jan,employed,f,79487,suburban,divorced,114,20,87,0,1,personal auto,personal l1,offer2,branch,suv,medsize
792,west region,5217,yes,basic,bachelor,feb,employed,f,39854,urban,divorced,66,6,4,0,7,corporate auto,corporate l2,offer2,web,two-door car,medsize
793,north west,7498,no,basic,master,jan,unemployed,f,35159,suburban,married,66,5,17,0,2,personal auto,personal l1,offer3,agent,four-door car,medsize
794,west region,8717,yes,basic,college,feb,employed,m,83846,suburban,married,74,22,94,3,2,personal auto,personal l2,offer2,agent,four-door car,large
795,north west,5272,no,basic,high school or below,feb,employed,f,60260,suburban,married,66,14,84,0,3,corporate auto,corporate l1,offer2,web,four-door car,medsize
796,west region,2409,no,basic,bachelor,feb,unemployed,f,20262,suburban,married,66,3,97,0,1,personal auto,personal l2,offer4,web,four-door car,medsize
797,east,20708,no,basic,high school or below,feb,employed,m,92079,rural,married,65,12,68,1,2,corporate auto,corporate l3,offer4,agent,four-door car,medsize
798,west region,8564,yes,basic,high school or below,feb,employed,m,95697,rural,married,107,29,29,0,9,personal auto,personal l1,offer2,agent,sports car,medsize
799,central,4178,no,basic,master,jan,employed,m,62113,rural,married,104,1,0,0,1,personal auto,personal l3,offer2,web,suv,medsize
800,west region,3944,no,basic,bachelor,jan,employed,f,33282,rural,married,100,24,66,1,1,personal auto,personal l3,offer2,agent,suv,small
801,east,2593,no,basic,high school or below,jan,unemployed,f,46647,suburban,single,72,1,99,0,1,personal auto,personal l1,offer3,call center,four-door car,large
802,west region,2578,no,basic,high school or below,feb,employed,f,59974,rural,divorced,65,23,5,0,1,corporate auto,corporate l3,offer4,call center,four-door car,medsize
803,north west,8360,no,basic,high school or below,feb,employed,m,48521,rural,married,105,9,89,0,7,personal auto,personal l3,offer2,branch,sports car,medsize
804,north west,14585,no,basic,high school or below,jan,unemployed,f,77044,suburban,married,194,26,10,0,5,corporate auto,corporate l3,offer1,agent,luxury suv,medsize
805,north west,14396,no,extended,high school or below,feb,unemployed,m,96821,suburban,single,205,14,63,0,4,personal auto,personal l1,offer1,call center,luxury car,medsize
806,west region,9100,no,basic,college,jan,employed,f,38898,suburban,divorced,117,26,68,0,3,corporate auto,corporate l2,offer1,agent,suv,small
